OUTLET_CODE,SALES_UNITS,UNIT_PTR,FREQUENCY,PRODUCT_CODE_ENCODED,CLUSTER
OL10388,13.155844155844155,51.92412295722787,154,45.55194805194805,0
OL10389,246.51162790697674,41.29077317941056,43,53.06976744186046,0
OL10390,18.069767441860463,6.374584717744718,43,46.093023255813954,0
OL10392,21.571428571428573,22.331284787879465,28,57.892857142857146,0
OL10393,5.975609756097561,101.00768134223674,82,51.26829268292683,0
OL10394,15.088235294117647,38.68649732343225,34,46.05882352941177,0
OL10396,2.1904761904761907,89.38620902410715,21,48.285714285714285,0
OL10397,9.857142857142858,76.5529336745759,56,46.125,0
OL10398,12.210526315789474,44.15584415966009,19,54.89473684210526,0
OL10400,12.916666666666666,55.50459956855903,12,46.416666666666664,0
OL10401,22.08695652173913,16.19071146155051,23,35.65217391304348,0
OL10402,26.09090909090909,15.997638721133207,22,59.95454545454545,0
OL10404,11.313725490196079,25.54271708739179,51,42.86274509803921,0
OL10405,16.949152542372882,8.79237288362389,59,58.101694915254235,0
OL10408,2.5515873015873014,155.1334776338426,252,53.6468253968254,1
OL10409,34.7027027027027,7.360038610501126,37,56.54054054054054,0
OL10410,18.606060606060606,5.817099567226432,66,52.92424242424242,0
OL10411,32.0,8.928571428125,1,16.0,0
OL10412,2.0,54.54545455,1,8.0,0
OL10413,14.0,6.696428572708333,2,59.5,0
OL10414,16.0,4.464285713611111,3,48.333333333333336,0
OL10415,22.0,5.939440993521953,23,51.26086956521739,0
OL10417,16.0,8.92857143125,4,37.5,0
OL10418,13.818181818181818,25.610094446820458,55,50.4,0
OL10419,9.705882352941176,42.4627578259804,17,55.11764705882353,0
OL10420,8.307692307692308,63.27505827601495,39,43.282051282051285,0
OL10421,16.0,8.92857143125,4,60.0,0
OL10422,14.0,11.525974024693877,21,54.714285714285715,0
OL10424,16.77777777777778,13.342352094449211,18,51.333333333333336,0
OL10425,36.73809523809524,10.132575757958975,42,56.666666666666664,0
OL10426,17.350649350649352,8.56476113381571,77,54.97402597402598,0
OL10428,13.642857142857142,10.256261596279762,14,44.214285714285715,0
OL10429,31.25,8.883928572814883,60,53.233333333333334,0
OL10430,39.1578947368421,8.646616541759869,19,53.73684210526316,0
OL10431,37.0,11.982065554097224,21,52.80952380952381,0
OL10432,14.473684210526315,16.840396447960526,19,51.473684210526315,0
OL10433,18.606382978723403,8.673893429013567,94,54.40425531914894,0
OL10434,21.217391304347824,6.987577640507247,23,50.869565217391305,0
OL10435,17.285714285714285,49.24628941875,7,62.57142857142857,0
OL10436,2.901098901098901,157.73744112745192,91,43.879120879120876,1
OL10437,10.196969696969697,107.68390069611806,198,45.803030303030305,1
OL10438,11.0,62.01298702083334,3,47.666666666666664,0
OL10439,13.380952380952381,12.88651824203373,21,46.904761904761905,0
OL10440,16.571428571428573,43.28443877819196,28,55.392857142857146,0
OL10441,17.933333333333334,10.876623377524373,30,49.8,0
OL10442,16.166666666666668,42.027417027328426,18,54.72222222222222,0
OL10443,18.125,57.47767857265625,8,49.25,0
OL10444,27.2,6.24999999875,5,56.2,0
OL10445,14.960526315789474,6.860902256804373,76,57.71052631578947,0
OL10446,17.333333333333332,5.766369047760417,24,47.083333333333336,0
OL10447,3.727272727272727,110.78414010386363,33,49.93939393939394,0
OL10448,16.695652173913043,8.92857143111413,23,50.391304347826086,0
OL10449,13.814814814814815,19.15343915287919,27,44.18518518518518,0
OL10450,15.379310344827585,6.834975370645073,58,54.810344827586206,0
OL10451,20.8,8.035714286875,5,41.8,0
OL10452,13.375,49.61952110528646,16,51.8125,0
OL10454,19.2,8.928571430625002,5,53.4,0
OL10456,12.484848484848484,4.599567099482323,33,43.72727272727273,0
OL10457,13.818181818181818,4.667207791988637,22,42.40909090909091,0
OL10458,25.365079365079364,7.638888890282187,63,47.96825396825397,0
OL10459,20.37313432835821,31.172223298912787,67,51.149253731343286,0
OL10460,15.636363636363637,22.100059034299242,11,54.45454545454545,0
OL10461,20.727272727272727,5.68181818189394,11,58.36363636363637,0
OL10463,11.0,93.10064938229166,2,71.0,0
OL10464,14.444444444444445,18.037518038888887,9,52.666666666666664,0
OL10465,22.5,34.15363045818349,22,55.27272727272727,0
OL10466,26.408163265306122,7.926384840426671,49,49.326530612244895,0
OL10469,9.6,66.71558441384167,25,43.96,0
OL10470,16.727272727272727,8.116883118768941,11,49.72727272727273,0
OL10471,10.46078431372549,79.34842118759504,102,61.8921568627451,0
OL10472,8.940966010733453,137.78204353589956,559,45.463327370304114,1
OL10473,16.25862068965517,6.788793104100251,58,52.36206896551724,0
OL10474,16.783132530120483,10.737756222326809,83,47.16867469879518,0
OL10475,14.3125,26.459009739882813,16,52.125,0
OL10478,4.901639344262295,104.01953374567134,305,47.78032786885246,1
OL10479,8.5,88.555194815625,2,22.0,0
OL10480,11.25,28.678977272552082,8,53.875,0
OL10481,13.846153846153847,25.17732267772436,13,49.23076923076923,0
OL10484,20.75862068965517,8.866995075640919,29,69.72413793103448,0
OL10485,25.215384615384615,6.510989011081135,65,52.33846153846154,0
OL10486,11.391304347826088,44.49392998238225,23,53.26086956521739,0
OL10487,4.6976744186046515,86.80987617133236,43,64.06976744186046,0
OL10488,22.814814814814813,7.043650794633488,27,53.074074074074076,0
OL10489,16.0,8.92857143125,16,60.0,0
OL10490,21.384615384615383,8.07005494599359,26,53.65384615384615,0
OL10492,241.98095238095237,61.54035250444925,105,48.58095238095238,0
OL10493,1.5555555555555556,126.11111111289352,72,50.708333333333336,1
OL10494,13.833333333333334,20.6290584437934,24,52.083333333333336,0
OL10495,8.666666666666666,99.97294370416667,3,48.333333333333336,0
OL10496,4.142857142857143,72.05473098261905,7,50.857142857142854,0
OL10497,21.0,7.254464286328125,8,56.5,0
OL10498,17.47826086956522,21.663255224184784,46,54.71739130434783,0
OL10499,15.203703703703704,11.319143820614109,54,51.592592592592595,0
OL10500,12.8,5.357142857583334,5,37.2,0
OL10503,14.914285714285715,11.349257883887372,35,49.65714285714286,0
OL10504,1.9649122807017543,97.92663476695907,57,44.31578947368421,0
OL10505,18.36764705882353,7.647985666030314,68,49.73529411764706,0
OL10506,12.0,4.4642857141666665,6,43.0,0
OL10507,3.8577405857740588,134.3050725420659,478,49.2071129707113,1
OL10508,15.493827160493828,15.248316497806526,81,47.629629629629626,0
OL10509,18.197183098591548,13.899533565220588,71,48.84507042253521,0
OL10512,21.233333333333334,13.807359308684912,60,44.983333333333334,0
OL10515,13.481481481481481,36.09668109495824,27,47.629629629629626,0
OL10516,15.419354838709678,6.998847927379033,31,48.32258064516129,0
OL10517,16.0,8.92857143125,9,55.77777777777778,0
OL10518,10.26530612244898,53.0966737342432,49,52.326530612244895,0
OL10520,17.589473684210525,18.30160628759907,95,50.77894736842105,0
OL10521,13.066666666666666,22.353174602886167,45,48.333333333333336,0
OL10522,13.529411764705882,50.9755538580176,85,47.43529411764706,0
OL10523,8.777777777777779,86.57227031935956,54,42.370370370370374,0
OL10524,25.428571428571427,8.705357144079569,28,55.714285714285715,0
OL10525,10.792207792207792,118.54846587519972,924,46.21861471861472,1
OL10526,16.0,8.92857143125,6,64.16666666666667,0
OL10529,16.784313725490197,7.177871149660948,51,51.01960784313726,0
OL10530,16.602272727272727,15.520956318333798,88,48.13636363636363,0
OL10531,15.354545454545455,37.341453291880384,110,43.99090909090909,0
OL10532,20.349206349206348,8.914399094591634,63,51.142857142857146,0
OL10533,7.20952380952381,96.9585652426726,105,29.685714285714287,1
OL10534,18.25,7.276785715299225,60,44.56666666666667,0
OL10535,13.0,8.928571428680556,6,36.5,0
OL10536,4.835205992509363,108.66585193549312,267,54.329588014981276,1
OL10537,15.5,7.704493087558244,62,43.306451612903224,0
OL10538,2.9105263157894736,140.22317156534538,190,51.463157894736845,1
OL10539,17.61904761904762,6.760204082261905,21,53.333333333333336,0
OL10540,16.489473684210527,30.173188653921247,190,46.42631578947368,0
OL10541,20.699570815450645,33.24013433021124,233,45.84978540772532,0
OL10542,25.210526315789473,56.34996582752559,19,51.8421052631579,0
OL10543,45.52173913043478,29.693675892115305,23,58.04347826086956,0
OL10545,5.716981132075472,160.5909499302336,371,47.94609164420485,1
OL10546,24.933333333333334,40.41558441622685,15,57.6,0
OL10547,16.238095238095237,7.504251701300479,42,52.285714285714285,0
OL10548,16.0,8.92857143125,1,60.0,0
OL10549,8.666666666666666,42.654220776354165,12,43.416666666666664,0
OL10550,12.636363636363637,45.239079105650255,11,46.18181818181818,0
OL10551,24.439560439560438,6.799450550003027,91,49.97802197802198,0
OL10552,34.92307692307692,15.940309692211539,13,58.46153846153846,0
OL10554,14.446808510638299,35.35437966360972,47,50.59574468085106,0
OL10555,12.620418848167539,139.89975720071504,764,42.33115183246073,1
OL10556,17.636363636363637,8.847402599615641,11,45.63636363636363,0
OL10558,22.4,8.928571430000002,5,49.6,0
OL10559,20.129032258064516,8.928571430443549,31,47.45161290322581,0
OL10562,6.467687074829932,192.35802049426258,588,45.554421768707485,1
OL10564,14.0,30.380333955357145,7,61.285714285714285,0
OL10565,18.285714285714285,8.928571430803572,7,60.285714285714285,0
OL10566,15.714285714285714,9.56632653125,7,48.57142857142857,0
OL10568,1689.142857142857,6.696428571239459,14,59.5,2
OL10570,24.0,8.928571429687501,2,35.0,0
OL10571,24.181818181818183,41.55475206480615,22,61.68181818181818,0
OL10573,9.205882352941176,72.38397631862745,34,40.0,0
OL10574,22.181818181818183,7.711038961524622,22,50.36363636363637,0
OL10575,24.0,4.4642857125,2,43.0,0
OL10577,24.0,7.440476190625,3,48.666666666666664,0
OL10578,2.0,54.54545455,1,8.0,0
