iter	Passed	Remaining
400	26056	38921
401	26134	38876
402	26196	38807
403	26260	38741
404	26326	38677
405	26386	38605
406	26451	38539
407	26513	38471
408	26576	38402
409	26637	38332
410	26697	38259
411	26778	38217
412	26892	38223
413	26960	38161
414	27018	38086
415	27073	38007
416	27153	37963
417	27215	37893
418	27285	37835
419	27376	37805
420	27445	37745
421	27509	37678
422	27582	37623
423	27633	37540
424	27695	37469
425	27756	37399
426	27815	37326
427	27876	37255
428	27941	37190
429	27994	37108
430	28071	37059
431	28135	36992
432	28196	36922
433	28263	36859
434	28333	36800
435	28399	36736
436	28458	36664
437	28521	36596
438	28573	36513
439	28640	36451
440	28702	36382
441	28758	36306
442	28822	36239
443	28907	36199
444	28970	36131
445	29043	36076
446	29108	36011
447	29160	35929
448	29224	35863
449	29292	35801
450	29348	35725
451	29407	35653
452	29471	35586
453	29547	35535
454	29605	35461
455	29689	35419
456	29749	35347
457	29807	35274
458	29864	35199
459	29923	35127
460	29989	35063
461	30047	34990
462	30104	34916
463	30168	34849
464	30234	34785
465	30303	34725
466	30355	34645
467	30423	34583
468	30489	34520
469	30548	34448
470	30612	34382
471	30670	34309
472	30735	34244
473	30807	34187
474	30867	34116
475	30930	34049
476	30983	33971
477	31064	33924
478	31148	33879
479	31243	33847
480	31327	33802
481	31437	33785
482	31511	33729
483	31575	33662
484	31645	33603
485	31710	33537
486	31771	33468
487	31833	33399
488	31898	33333
489	31953	33258
490	32016	33189
491	32069	33112
492	32132	33045
493	32187	32969
494	32240	32892
495	32304	32825
496	32364	32755
497	32434	32694
498	32513	32643
499	32569	32569
500	32633	32503
501	32698	32438
502	32755	32364
503	32816	32295
504	32878	32227
505	32935	32153
506	32987	32076
507	33051	32010
508	33110	31939
509	33162	31862
510	33219	31789
511	33292	31732
512	33347	31657
513	33434	31612
514	33521	31569
515	33605	31521
516	33681	31466
517	33759	31413
518	33827	31350
519	33885	31278
520	33936	31200
521	34000	31135
522	34061	31065
523	34128	31002
524	34188	30932
525	34243	30858
526	34306	30790
527	34364	30719
528	34429	30654
529	34494	30589
530	34552	30518
531	34613	30449
532	34680	30386
533	34741	30317
534	34812	30257
535	34885	30199
536	34952	30136
537	35012	30066
538	35079	30002
539	35138	29933
540	35199	29864
541	35256	29792
542	35319	29725
543	35385	29661
544	35436	29584
545	35499	29517
546	35549	29440
547	35619	29379
548	35677	29309
549	35730	29234
550	35790	29165
551	35865	29107
552	35942	29053
553	36019	28997
554	36083	28931
555	36139	28859
556	36194	28786
557	36252	28715
558	36325	28657
559	36393	28594
560	36447	28521
561	36510	28454
562	36573	28388
563	36627	28314
