iter	RMSE
0	38.82466272
1	37.34747726
2	36.15535247
3	35.20028198
4	34.43409861
5	33.82547967
6	33.34374326
7	32.95207525
8	32.64680436
9	32.4070607
10	32.19082543
11	32.01521466
12	31.89437036
13	31.8549629
14	31.76435586
15	31.74579545
16	31.65663079
17	31.64055549
18	31.58221871
19	31.57384122
20	31.56574664
21	31.55894859
22	31.51133857
23	31.50351537
24	31.49670811
25	31.46314307
26	31.4368837
27	31.42669869
28	31.39209202
29	31.33951901
30	31.32956683
31	31.3263547
32	31.32257359
33	31.31609087
34	31.31234997
35	31.3080749
36	31.30593882
37	31.30290335
38	31.27126709
39	31.26942219
40	31.26702692
41	31.26373535
42	31.26012245
43	31.25765798
44	31.25667665
45	31.25428063
46	31.2525051
47	31.23582382
48	31.23434217
49	31.23220613
50	31.18250191
51	31.18119888
52	31.15831237
53	31.15737168
54	31.1566325
55	31.15541781
56	31.12646099
57	31.11915416
58	31.11798314
59	31.09260567
60	31.0480138
61	31.04680123
62	31.04558165
63	31.04472511
64	31.04420708
65	31.04085828
66	31.01236061
67	31.01129628
68	30.98057544
69	30.9793737
70	30.97886099
71	30.97811867
72	30.95477355
73	30.95255641
74	30.95208915
75	30.93500903
76	30.91400217
77	30.91347979
78	30.91283803
79	30.88201174
80	30.88171498
81	30.88100102
82	30.84063334
83	30.83997241
84	30.83934028
85	30.83736293
86	30.83687206
87	30.83640171
88	30.81676946
89	30.81622537
90	30.81585318
91	30.8104303
92	30.81001255
93	30.8095753
94	30.80913371
95	30.78611276
96	30.78569437
97	30.78511785
98	30.74806772
99	30.74755922
100	30.7326944
101	30.71604763
102	30.71589354
103	30.71548385
104	30.70139804
105	30.67393344
106	30.67337513
107	30.66954542
108	30.66695606
109	30.66659093
110	30.66611861
111	30.66082828
112	30.63900544
113	30.62562002
114	30.62526942
115	30.61186999
116	30.61149064
117	30.58471992
118	30.56926245
119	30.56888256
120	30.54513908
121	30.53377876
122	30.51348501
123	30.51226906
124	30.51156938
125	30.50243225
126	30.50187029
127	30.49652078
128	30.49430366
129	30.47100546
130	30.47063564
131	30.44662209
132	30.44025215
133	30.43834555
134	30.42611686
135	30.40755072
136	30.40698452
137	30.40524481
138	30.40491941
139	30.40121906
140	30.40070543
141	30.38014049
142	30.37990485
143	30.36462071
144	30.35882954
145	30.34398302
146	30.34364462
147	30.34301766
148	30.34267933
149	30.34226187
150	30.33191842
151	30.32327911
152	30.32251421
153	30.31051476
154	30.29882609
155	30.29825035
156	30.29790815
157	30.29373819
158	30.29350282
159	30.29314584
160	30.2925474
161	30.28088449
162	30.25772355
163	30.24368605
164	30.24338463
165	30.24315087
166	30.23741729
167	30.23691337
168	30.22362059
169	30.22317295
170	30.22090518
171	30.22070444
172	30.20542895
173	30.19427049
174	30.19355001
175	30.17667813
176	30.163742
177	30.15099012
178	30.14340895
179	30.13696434
180	30.11819412
181	30.11680671
182	30.10849687
183	30.10811674
184	30.09967646
185	30.08733445
186	30.08705254
187	30.08668743
188	30.07570401
189	30.07558359
190	30.06466775
191	30.06446916
192	30.06420947
193	30.06399924
194	30.05611835
195	30.0525759
196	30.05212424
197	30.04308329
